customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
WH81461,Nevada,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,2,3,Branch,SUV,Midsize
UD47050,Oregon,Yes,Extended,High School or Below,Employed,M,Suburban,Single,Corporate Auto,2,1,Agent,Four-Door Car,Midsize
XZ17273,Nevada,No,Basic,Undergraduate,Employed,M,Rural,Married,Corporate Auto,3,2,Web,Four-Door Car,Midsize
XR97812,California,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Midsize
BW88060,California,No,Basic,High School or Below,Other,F,Suburban,Married,Personal Auto,3,1,Call Center,SUV,Midsize
CP32818,Oregon,No,Basic,Undergraduate,Employed,M,Rural,Single,Personal Auto,3,2,Agent,Luxury,Small
CM52565,Nevada,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,2,2,Call Center,Four-Door Car,Midsize
YP40334,Oregon,No,Premium,Postgraduate,Unemployed,F,Rural,Single,Personal Auto,2,2,Web,SUV,Midsize
KD63998,California,Yes,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,2,2,Call Center,Four-Door Car,Small
VC77127,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,3,4,Call Center,Four-Door Car,Midsize
AM30008,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,2,4,Web,Luxury,Midsize
PC83755,Oregon,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,2,2,Agent,Two-Door Car,Midsize
XS22323,Arizona,Yes,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Midsize
YM43461,Washington,No,Premium,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Large
BH23017,Nevada,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,3,1,Branch,Two-Door Car,Small
OD18225,California,No,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,2,3,Agent,Four-Door Car,Midsize
VE31507,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,3,2,Web,Four-Door Car,Midsize
NR18672,Nevada,No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,1,4,Agent,Two-Door Car,Large
DM76654,California,No,Extended,Undergraduate,Employed,M,Suburban,Single,Personal Auto,2,2,Branch,SUV,Large
YY11432,Oregon,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,3,1,Agent,SUV,Midsize
BD77090,Washington,Yes,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,1,2,Branch,SUV,Midsize
XA75063,Oregon,No,Extended,Undergraduate,Employed,F,Suburban,Divorced,Personal Auto,3,1,Agent,Luxury,Midsize
PQ13422,Nevada,No,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,2,Web,Four-Door Car,Small
NA89685,Oregon,No,Basic,Undergraduate,Employed,M,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Midsize
AL35726,Oregon,Yes,Extended,Undergraduate,Employed,F,Rural,Married,Personal Auto,2,2,Call Center,Two-Door Car,Large
WO70078,Oregon,No,Extended,Undergraduate,Employed,F,Rural,Divorced,Personal Auto,3,1,Branch,Four-Door Car,Midsize
CA56041,Nevada,No,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,3,3,Call Center,SUV,Small
HI41970,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,2,2,Call Center,Two-Door Car,Midsize
AU46443,Nevada,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,SUV,Midsize
WC35554,Oregon,No,Basic,Undergraduate,Employed,M,Urban,Married,Personal Auto,2,1,Call Center,Luxury,Midsize
JR10216,California,No,Basic,Undergraduate,Other,F,Suburban,Married,Corporate Auto,3,4,Web,Four-Door Car,Small
OH11674,Arizona,No,Basic,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,1,1,Branch,Two-Door Car,Small
US85318,Oregon,No,Basic,Undergraduate,Employed,F,Urban,Divorced,Corporate Auto,3,2,Call Center,Four-Door Car,Midsize
FS19862,Arizona,No,Basic,Undergraduate,Other,F,Suburban,Married,Personal Auto,3,3,Call Center,SUV,Small
ZP80713,Arizona,No,Basic,Postgraduate,Employed,F,Urban,Divorced,Personal Auto,2,3,Branch,Two-Door Car,Midsize
OK50159,Arizona,No,Basic,Undergraduate,Employed,F,Rural,Single,Personal Auto,2,2,Call Center,Luxury,Small
TP54769,California,No,Extended,Undergraduate,Employed,F,Urban,Divorced,Corporate Auto,3,1,Web,SUV,Midsize
FS49381,Oregon,No,Basic,Undergraduate,Employed,F,Urban,Divorced,Personal Auto,1,3,Agent,Four-Door Car,Midsize
DQ79499,Oregon,No,Extended,Postgraduate,Employed,F,Suburban,Married,Personal Auto,2,1,Branch,SUV,Midsize
NM62724,Washington,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,3,3,Branch,Two-Door Car,Midsize
VO25602,Nevada,No,Extended,Undergraduate,Employed,F,Rural,Married,Personal Auto,1,1,Branch,Four-Door Car,Small
EP93369,Arizona,No,Extended,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,2,2,Branch,Luxury,Midsize
DQ45854,Oregon,No,Basic,Undergraduate,Employed,F,Rural,Single,Personal Auto,3,2,Branch,Four-Door Car,Midsize
QG15661,Oregon,No,Basic,Undergraduate,Employed,M,Rural,Divorced,Personal Auto,3,4,Call Center,Four-Door Car,Midsize
YA80645,Oregon,No,Basic,High School or Below,Employed,F,Urban,Divorced,Corporate Auto,1,2,Agent,Four-Door Car,Midsize
TW16499,California,No,Extended,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,2,4,Call Center,Two-Door Car,Small
UP97629,California,No,Extended,Undergraduate,Unemployed,F,Urban,Married,Personal Auto,3,3,Web,Four-Door Car,Midsize
NU42684,Nevada,No,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,3,2,Web,Four-Door Car,Midsize
FS42690,Washington,No,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Two-Door Car,Midsize
BM69818,Oregon,No,Extended,Undergraduate,Unemployed,M,Suburban,Divorced,Personal Auto,1,1,Call Center,Four-Door Car,Large
HK15299,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Midsize
NP88496,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,3,3,Agent,Four-Door Car,Large
SB99002,Oregon,No,Basic,Undergraduate,Employed,F,Rural,Married,Corporate Auto,3,4,Call Center,Four-Door Car,Midsize
VW82067,Washington,Yes,Basic,Postgraduate,Employed,F,Suburban,Married,Personal Auto,1,2,Agent,Four-Door Car,Small
JG30837,Oregon,No,Basic,Undergraduate,Other,M,Suburban,Divorced,Corporate Auto,3,4,Web,SUV,Midsize
AC22873,Arizona,No,Extended,High School or Below,Other,F,Suburban,Married,Special Auto,3,1,Agent,SUV,Midsize
RO85831,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Corporate Auto,3,4,Agent,Luxury,Midsize
WT71621,Washington,No,Extended,Undergraduate,Employed,F,Urban,Married,Personal Auto,3,2,Web,Four-Door Car,Midsize
OF24813,Washington,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,3,2,Branch,SUV,Midsize
GH31557,California,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,3,2,Web,Two-Door Car,Small
WI89081,Washington,No,Extended,Undergraduate,Employed,M,Urban,Married,Personal Auto,1,1,Agent,SUV,Midsize
IO27771,Oregon,No,Premium,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,2,1,Branch,Four-Door Car,Small
HB99061,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Corporate Auto,3,4,Branch,SUV,Midsize
HQ82089,Arizona,No,Premium,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Midsize
JN72184,Oregon,No,Basic,Undergraduate,Unemployed,M,Suburban,Divorced,Corporate Auto,1,1,Branch,Four-Door Car,Midsize
WQ46946,California,No,Extended,Undergraduate,Employed,F,Urban,Married,Personal Auto,3,1,Branch,Four-Door Car,Midsize
WJ44028,California,No,Extended,Postgraduate,Employed,M,Suburban,Married,Personal Auto,3,2,Web,Two-Door Car,Midsize
WH77063,Arizona,No,Premium,High School or Below,Employed,F,Suburban,Married,Personal Auto,1,4,Agent,Four-Door Car,Small
FI13966,Oregon,No,Premium,High School or Below,Employed,F,Suburban,Married,Personal Auto,3,3,Branch,Luxury,Small
AQ46199,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,2,4,Web,Two-Door Car,Midsize
WV69362,Arizona,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,3,2,Call Center,Two-Door Car,Midsize
RJ90816,California,No,Extended,Undergraduate,Employed,F,Rural,Married,Personal Auto,3,2,Call Center,Four-Door Car,Small
NH19236,Arizona,No,Basic,Postgraduate,Unemployed,M,Urban,Married,Personal Auto,3,2,Branch,Four-Door Car,Midsize
VW88911,Oregon,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,3,1,Branch,Four-Door Car,Large
NV14535,Nevada,Yes,Basic,High School or Below,Other,M,Suburban,Divorced,Personal Auto,2,1,Branch,SUV,Midsize
BM66931,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,2,2,Web,SUV,Midsize
JW24035,Oregon,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,2,2,Branch,Four-Door Car,Midsize
PG82270,California,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,2,4,Branch,Four-Door Car,Small
RW65101,California,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,3,3,Web,Four-Door Car,Midsize
QO79771,California,No,Extended,Postgraduate,Employed,F,Rural,Married,Personal Auto,3,2,Call Center,Four-Door Car,Small
EC44438,Nevada,No,Basic,Undergraduate,Other,F,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Small
MW54213,Arizona,No,Basic,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Midsize
ZN33412,Arizona,No,Extended,Undergraduate,Other,F,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Midsize
HZ56678,Oregon,No,Basic,High School or Below,Other,F,Suburban,Divorced,Personal Auto,2,4,Web,Four-Door Car,Large
AN36757,Oregon,No,Extended,Postgraduate,Employed,M,Urban,Married,Personal Auto,3,2,Branch,Four-Door Car,Midsize
NB54665,Arizona,Yes,Basic,High School or Below,Employed,F,Rural,Single,Corporate Auto,1,2,Agent,Four-Door Car,Midsize
MG99229,Oregon,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Corporate Auto,3,2,Agent,Luxury,Small
MX76292,California,No,Basic,Postgraduate,Employed,F,Rural,Married,Corporate Auto,3,1,Agent,Four-Door Car,Midsize
EJ90880,California,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Midsize
WO95180,California,Yes,Basic,High School or Below,Other,F,Suburban,Divorced,Corporate Auto,3,1,Branch,Four-Door Car,Midsize
BU53191,Arizona,No,Basic,Undergraduate,Employed,F,Rural,Divorced,Personal Auto,1,1,Call Center,SUV,Small
ZK54897,Arizona,Yes,Premium,Postgraduate,Employed,M,Rural,Married,Personal Auto,3,1,Agent,Two-Door Car,Midsize
PP48389,California,No,Premium,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,2,1,Agent,Luxury,Midsize
XD29421,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,3,3,Agent,Luxury,Large
OP26403,California,No,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,1,1,Branch,Four-Door Car,Small
XK15687,Oregon,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,3,1,Agent,SUV,Midsize
ED29955,California,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Midsize
QT84720,Oregon,No,Basic,Undergraduate,Employed,F,Rural,Married,Corporate Auto,2,1,Branch,Two-Door Car,Large
ZH35315,California,No,Basic,Undergraduate,Other,M,Suburban,Married,Personal Auto,2,2,Branch,Four-Door Car,Large
EE76374,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,3,1,Web,Four-Door Car,Midsize
RF72106,Washington,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,2,1,Branch,Four-Door Car,Small
BS13111,Arizona,No,Basic,Undergraduate,Unemployed,M,Urban,Divorced,Personal Auto,3,1,Branch,Four-Door Car,Midsize
JP12645,Arizona,Yes,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,3,1,Call Center,SUV,Midsize
ZF28570,Nevada,No,Premium,Undergraduate,Employed,M,Suburban,Single,Personal Auto,3,3,Agent,Four-Door Car,Midsize
UU93074,California,No,Premium,Undergraduate,Employed,M,Suburban,Married,Personal Auto,1,1,Agent,Luxury,Midsize
SZ60450,California,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,3,3,Agent,Two-Door Car,Midsize
HL63895,Arizona,No,Basic,Postgraduate,Employed,M,Urban,Married,Personal Auto,3,1,Branch,Four-Door Car,Midsize
UD27196,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,3,Branch,Luxury,Small
OU53351,Arizona,No,Basic,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,2,4,Agent,Four-Door Car,Small
SX50964,Arizona,No,Basic,Undergraduate,Employed,F,Urban,Married,Corporate Auto,2,2,Branch,Two-Door Car,Small
RP30093,Oregon,No,Premium,Undergraduate,Employed,F,Suburban,Married,Personal Auto,3,1,Agent,SUV,Midsize
BK73302,California,No,Extended,Undergraduate,Employed,M,Suburban,Divorced,Corporate Auto,3,2,Web,Four-Door Car,Midsize
CS93971,Arizona,Yes,Basic,Undergraduate,Other,F,Suburban,Divorced,Personal Auto,2,1,Agent,SUV,Small
RG13940,California,Yes,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,2,1,Agent,Four-Door Car,Large
ZG94155,Oregon,No,Extended,Undergraduate,Unemployed,M,Rural,Married,Personal Auto,3,1,Branch,Two-Door Car,Large
QN15356,Arizona,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Large
MZ16820,Nevada,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,2,2,Call Center,Four-Door Car,Small
DO98345,Oregon,No,Extended,High School or Below,Employed,M,Urban,Married,Personal Auto,3,2,Web,Two-Door Car,Midsize
EQ69638,Washington,No,Extended,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,3,3,Branch,Four-Door Car,Small
UK76814,Oregon,No,Basic,Postgraduate,Employed,F,Urban,Married,Personal Auto,2,2,Call Center,Four-Door Car,Midsize
SR30440,California,No,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,1,3,Branch,SUV,Midsize
XE66367,Oregon,Yes,Extended,High School or Below,Employed,M,Rural,Divorced,Special Auto,2,1,Agent,Four-Door Car,Midsize
SZ70655,California,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Corporate Auto,3,1,Agent,Two-Door Car,Large
LX99948,Washington,No,Basic,Postgraduate,Employed,F,Urban,Married,Personal Auto,2,4,Branch,SUV,Small
DK98861,Arizona,No,Basic,Undergraduate,Employed,F,Urban,Married,Personal Auto,2,2,Call Center,SUV,Midsize
JX14364,Oregon,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,1,Call Center,SUV,Midsize
LI85491,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,SUV,Small
JY87538,Oregon,No,Basic,Undergraduate,Employed,F,Urban,Single,Personal Auto,2,1,Web,SUV,Midsize
VE55982,Nevada,No,Basic,Undergraduate,Employed,M,Suburban,Divorced,Corporate Auto,1,1,Call Center,Two-Door Car,Midsize
WK99918,Oregon,Yes,Extended,Postgraduate,Employed,M,Suburban,Married,Personal Auto,1,2,Branch,SUV,Midsize
XP16538,Arizona,No,Basic,High School or Below,Employed,F,Urban,Divorced,Corporate Auto,2,2,Agent,SUV,Small
HW42900,California,No,Extended,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,1,1,Web,Four-Door Car,Small
JG84729,Arizona,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,1,1,Call Center,Four-Door Car,Midsize
UX71137,Washington,No,Premium,Postgraduate,Employed,F,Urban,Married,Personal Auto,3,2,Web,Four-Door Car,Midsize
ND29059,Oregon,No,Extended,Undergraduate,Employed,M,Urban,Married,Personal Auto,3,1,Agent,SUV,Midsize
HC76653,Oregon,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Midsize
SG73822,California,No,Premium,Undergraduate,Employed,F,Rural,Divorced,Personal Auto,2,2,Agent,Four-Door Car,Midsize
CB44654,Arizona,No,Basic,Undergraduate,Employed,M,Urban,Single,Personal Auto,3,1,Agent,Two-Door Car,Midsize
MQ15074,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,2,2,Branch,Four-Door Car,Midsize
YJ43481,Arizona,No,Basic,High School or Below,Employed,F,Urban,Single,Corporate Auto,2,1,Call Center,SUV,Midsize
TP15362,Oregon,No,Extended,Undergraduate,Employed,M,Suburban,Divorced,Personal Auto,1,2,Branch,Four-Door Car,Midsize
YX90754,Nevada,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,2,2,Branch,Two-Door Car,Midsize
TQ32702,Nevada,No,Extended,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,2,3,Branch,Four-Door Car,Midsize
TS50305,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,SUV,Midsize
BY22068,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Corporate Auto,1,4,Agent,Luxury,Midsize
TJ48439,Oregon,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,1,3,Branch,Two-Door Car,Small
TE61015,Oregon,No,Basic,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,1,2,Web,Four-Door Car,Midsize
RD89159,Oregon,Yes,Premium,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Midsize
VW86720,Oregon,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,1,1,Call Center,Four-Door Car,Small
UM76485,Oregon,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,2,2,Agent,SUV,Midsize
LS62045,Oregon,No,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,3,4,Web,Four-Door Car,Large
ZG84862,Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,3,1,Branch,Two-Door Car,Small
CD76093,Nevada,No,Basic,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,3,4,Call Center,Luxury,Midsize
FO99259,California,No,Premium,Undergraduate,Other,M,Suburban,Divorced,Personal Auto,3,4,Call Center,Four-Door Car,Midsize
KN87338,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,2,4,Branch,Four-Door Car,Midsize
LT89398,California,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,2,4,Web,Four-Door Car,Small
NZ19529,Arizona,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,1,2,Agent,SUV,Midsize
PR41853,Arizona,No,Basic,Undergraduate,Unemployed,F,Rural,Married,Corporate Auto,2,1,Agent,Luxury,Midsize
LH92841,Washington,No,Extended,Undergraduate,Employed,F,Rural,Married,Personal Auto,2,1,Branch,Four-Door Car,Midsize
XR84971,Oregon,No,Extended,Postgraduate,Employed,F,Rural,Single,Personal Auto,1,1,Web,Four-Door Car,Midsize
BP83941,Arizona,No,Basic,Postgraduate,Unemployed,F,Suburban,Married,Personal Auto,2,3,Web,SUV,Midsize
PY80449,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Luxury,Midsize
ET22260,Nevada,No,Extended,Postgraduate,Unemployed,M,Rural,Single,Corporate Auto,2,1,Web,Four-Door Car,Midsize
OF47250,California,No,Basic,Postgraduate,Employed,F,Rural,Divorced,Personal Auto,2,2,Call Center,SUV,Midsize
WB58031,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,3,1,Branch,Four-Door Car,Midsize
UV80201,Oregon,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,3,1,Call Center,Luxury,Midsize
PY10605,Arizona,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,2,1,Agent,Two-Door Car,Midsize
JI82682,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,1,1,Web,Four-Door Car,Midsize
BU14748,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,3,4,Agent,Two-Door Car,Midsize
QS75550,Washington,No,Basic,Undergraduate,Employed,F,Urban,Single,Corporate Auto,2,1,Branch,Two-Door Car,Midsize
LD26428,Oregon,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Corporate Auto,3,2,Branch,Four-Door Car,Midsize
MY43761,California,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,2,2,Agent,SUV,Large
LO77543,Washington,Yes,Basic,Undergraduate,Employed,M,Suburban,Divorced,Special Auto,2,1,Agent,Two-Door Car,Midsize
GY55415,Nevada,No,Premium,Undergraduate,Unemployed,F,Suburban,Single,Corporate Auto,1,1,Web,SUV,Midsize
IB42395,Nevada,No,Premium,Undergraduate,Unemployed,M,Suburban,Single,Corporate Auto,3,1,Agent,SUV,Midsize
ZU74482,Oregon,Yes,Basic,Undergraduate,Employed,M,Urban,Single,Personal Auto,3,2,Agent,Two-Door Car,Midsize
NL74789,California,No,Premium,Undergraduate,Unemployed,F,Suburban,Single,Special Auto,2,1,Branch,Two-Door Car,Midsize
YU86594,Oregon,No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,3,1,Branch,Four-Door Car,Midsize
QN37451,California,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Corporate Auto,2,1,Branch,Luxury,Midsize
HS28694,Washington,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,2,4,Branch,Two-Door Car,Midsize
IL83479,Oregon,No,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,3,3,Call Center,Four-Door Car,Midsize
EF87528,Arizona,Yes,Basic,Undergraduate,Other,M,Suburban,Married,Special Auto,3,2,Agent,Two-Door Car,Midsize
IV74747,California,No,Extended,Postgraduate,Unemployed,M,Suburban,Divorced,Corporate Auto,2,4,Web,Four-Door Car,Midsize
JZ81608,Oregon,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,2,4,Branch,Four-Door Car,Midsize
EO40136,Arizona,No,Basic,Undergraduate,Employed,F,Urban,Divorced,Personal Auto,2,2,Web,Four-Door Car,Small
ZR40902,Oregon,No,Premium,Undergraduate,Other,F,Suburban,Married,Corporate Auto,2,1,Agent,Four-Door Car,Small
PO89542,Oregon,No,Basic,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,2,1,Branch,Four-Door Car,Midsize
FX57380,California,Yes,Basic,Undergraduate,Employed,F,Urban,Divorced,Personal Auto,2,2,Web,Two-Door Car,Midsize
NM22175,Oregon,No,Premium,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,3,2,Branch,SUV,Large
BC97773,Nevada,No,Basic,Postgraduate,Employed,F,Suburban,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Large
MN34012,Arizona,No,Basic,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,3,1,Agent,SUV,Midsize
KY29506,California,No,Premium,Undergraduate,Employed,F,Suburban,Single,Personal Auto,2,1,Agent,Four-Door Car,Small
LC44944,Washington,No,Premium,Postgraduate,Unemployed,F,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small
HC20975,Arizona,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,2,1,Branch,Four-Door Car,Large
IF87079,Arizona,No,Basic,Postgraduate,Employed,F,Rural,Divorced,Personal Auto,2,1,Agent,Four-Door Car,Midsize
EP18940,Oregon,No,Extended,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Midsize
SB44003,Arizona,Yes,Extended,Undergraduate,Employed,F,Rural,Divorced,Personal Auto,3,2,Agent,Four-Door Car,Midsize
MK15785,Nevada,No,Basic,Postgraduate,Employed,M,Suburban,Married,Corporate Auto,2,4,Call Center,Luxury,Midsize
VP89545,Arizona,No,Basic,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,3,1,Web,Four-Door Car,Midsize
HJ58678,Nevada,No,Basic,Undergraduate,Employed,F,Urban,Divorced,Personal Auto,2,3,Agent,Four-Door Car,Midsize
SH51981,Washington,No,Basic,Undergraduate,Employed,M,Suburban,Divorced,Personal Auto,2,3,Agent,Four-Door Car,Small
IA52178,Arizona,No,Premium,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,3,4,Web,SUV,Midsize
WC42895,California,No,Basic,Undergraduate,Employed,F,Rural,Single,Personal Auto,3,2,Agent,Four-Door Car,Midsize
OP54725,Washington,No,Premium,Undergraduate,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Small
YM77369,Oregon,No,Premium,High School or Below,Employed,M,Urban,Married,Corporate Auto,2,4,Web,Four-Door Car,Large
WV15213,California,No,Basic,Undergraduate,Employed,M,Rural,Single,Personal Auto,1,1,Branch,Four-Door Car,Midsize
GX37592,Nevada,No,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,3,3,Web,Four-Door Car,Midsize
PA48777,Washington,Yes,Basic,High School or Below,Other,F,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Midsize
YJ59924,Oregon,No,Extended,Undergraduate,Employed,M,Suburban,Married,Personal Auto,1,3,Agent,Four-Door Car,Midsize
OO35641,Oregon,No,Basic,Undergraduate,Employed,F,Urban,Divorced,Personal Auto,3,3,Agent,SUV,Midsize
EU54076,Oregon,No,Basic,Undergraduate,Employed,M,Urban,Married,Corporate Auto,3,2,Agent,Four-Door Car,Midsize
QH56750,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,1,2,Agent,Four-Door Car,Midsize
VF32979,Washington,No,Basic,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,2,1,Branch,Four-Door Car,Midsize
ES16126,California,Yes,Premium,Undergraduate,Employed,M,Suburban,Married,Personal Auto,1,2,Branch,Four-Door Car,Midsize
PG42834,Arizona,No,Extended,Undergraduate,Employed,F,Rural,Married,Personal Auto,2,3,Agent,Four-Door Car,Midsize
OY44814,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,3,1,Web,Two-Door Car,Midsize
JI97190,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,3,3,Branch,Two-Door Car,Large
ZK61113,Oregon,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,2,3,Agent,Two-Door Car,Midsize
MU88116,Oregon,No,Basic,Postgraduate,Employed,F,Urban,Married,Corporate Auto,3,1,Web,Luxury,Midsize
TP61305,California,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,3,1,Web,Four-Door Car,Midsize
